totbill,tip,sex,smoker,day,time,size
26.41,1.5,F,No,Sat,Night,2
11.24,1.76,M,Yes,Sat,Night,2
48.27,6.73,M,No,Sat,Night,4
20.29,3.21,M,Yes,Sat,Night,2
13.81,2,M,Yes,Sat,Night,2
11.02,1.98,M,Yes,Sat,Night,2
18.29,3.76,M,Yes,Sat,Night,4
17.59,2.64,M,No,Sat,Night,3
20.08,3.15,M,No,Sat,Night,3
16.45,2.47,F,No,Sat,Night,2
3.07,1,F,Yes,Sat,Night,1
20.23,2.01,M,No,Sat,Night,2
15.01,2.09,M,Yes,Sat,Night,2
12.02,1.97,M,No,Sat,Night,2
17.07,3,F,No,Sat,Night,3
26.86,3.14,F,Yes,Sat,Night,2
25.28,5,F,Yes,Sat,Night,2
14.73,2.2,F,No,Sat,Night,2
10.51,1.25,M,No,Sat,Night,2
17.92,3.08,M,Yes,Sat,Night,2
27.2,4,M,No,Thu,Day,4
22.76,3,M,No,Thu,Day,2
17.29,2.71,M,No,Thu,Day,2
19.44,3,M,Yes,Thu,Day,2
16.66,3.4,M,No,Thu,Day,2
10.07,1.83,F,No,Thu,Day,1
32.68,5,M,Yes,Thu,Day,2
15.98,2.03,M,No,Thu,Day,2
34.83,5.17,F,No,Thu,Day,4
13.03,2,M,No,Thu,Day,2
18.28,4,M,No,Thu,Day,2
24.71,5.85,M,No,Thu,Day,2
21.16,3,M,No,Thu,Day,2
28.97,3,M,Yes,Fri,Night,2
22.49,3.5,M,No,Fri,Night,2
5.75,1,F,Yes,Fri,Night,2
16.32,4.3,F,Yes,Fri,Night,2
22.75,3.25,F,No,Fri,Night,2
40.17,4.73,M,Yes,Fri,Night,4
27.28,4,M,Yes,Fri,Night,2
12.03,1.5,M,Yes,Fri,Night,2
21.01,3,M,Yes,Fri,Night,2
12.46,1.5,M,No,Fri,Night,2
11.35,2.5,F,Yes,Fri,Night,2
15.38,3,F,Yes,Fri,Night,2
44.3,2.5,F,Yes,Sat,Night,3
22.42,3.48,F,Yes,Sat,Night,2
20.92,4.08,F,No,Sat,Night,2
15.36,1.64,M,Yes,Sat,Night,2
20.49,4.06,M,Yes,Sat,Night,2
25.21,4.29,M,Yes,Sat,Night,2
18.24,3.76,M,No,Sat,Night,2
14.31,4,F,Yes,Sat,Night,2
14,3,M,No,Sat,Night,2
7.25,1,F,No,Sat,Night,1
38.07,4,M,No,Sun,Night,3
23.95,2.55,M,No,Sun,Night,2
25.71,4,F,No,Sun,Night,3
17.31,3.5,F,No,Sun,Night,2
29.93,5.07,M,No,Sun,Night,4
10.65,1.5,F,No,Thu,Day,2
12.43,1.8,F,No,Thu,Day,2
24.08,2.92,F,No,Thu,Day,4
11.69,2.31,M,No,Thu,Day,2
13.42,1.68,F,No,Thu,Day,2
14.26,2.5,M,No,Thu,Day,2
15.95,2,M,No,Thu,Day,2
12.48,2.52,F,No,Thu,Day,2
29.8,4.2,F,No,Thu,Day,6
8.52,1.48,M,No,Thu,Day,2
14.52,2,F,No,Thu,Day,2
11.38,2,F,No,Thu,Day,2
22.82,2.18,M,No,Thu,Day,3
19.08,1.5,M,No,Thu,Day,2
20.27,2.83,F,No,Thu,Day,2
11.17,1.5,F,No,Thu,Day,2
12.26,2,F,No,Thu,Day,2
18.26,3.25,F,No,Thu,Day,2
8.51,1.25,F,No,Thu,Day,2
10.33,2,F,No,Thu,Day,2
14.15,2,F,No,Thu,Day,2
16,2,M,Yes,Thu,Day,2
13.16,2.75,F,No,Thu,Day,2
17.47,3.5,F,No,Thu,Day,2
34.3,6.7,M,No,Thu,Day,6
41.19,5,M,No,Thu,Day,5
27.05,5,F,No,Thu,Day,6
16.43,2.3,F,No,Thu,Day,2
8.35,1.5,F,No,Thu,Day,2
18.64,1.36,F,No,Thu,Day,3
11.87,1.63,F,No,Thu,Day,2
9.78,1.73,M,No,Thu,Day,2
7.51,2,M,No,Thu,Day,2
14.07,2.5,M,No,Sun,Night,2
13.13,2,M,No,Sun,Night,2
17.26,2.74,M,No,Sun,Night,3
24.55,2,M,No,Sun,Night,4
19.77,2,M,No,Sun,Night,4
29.85,5.14,F,No,Sun,Night,5
48.17,5,M,No,Sun,Night,6
25,3.75,F,No,Sun,Night,4
13.39,2.61,F,No,Sun,Night,2
16.49,2,M,No,Sun,Night,4
21.5,3.5,M,No,Sun,Night,4
12.66,2.5,M,No,Sun,Night,2
16.21,2,F,No,Sun,Night,3
13.81,2,M,No,Sun,Night,2
17.51,3,F,Yes,Sun,Night,2
24.52,3.48,M,No,Sun,Night,3
20.76,2.24,M,No,Sun,Night,2
31.71,4.5,M,No,Sun,Night,4
10.59,1.61,F,Yes,Sat,Night,2
10.63,2,F,Yes,Sat,Night,2
50.81,10,M,Yes,Sat,Night,3
15.81,3.16,M,Yes,Sat,Night,2
7.25,5.15,M,Yes,Sun,Night,2
31.85,3.18,M,Yes,Sun,Night,2
16.82,4,M,Yes,Sun,Night,2
32.9,3.11,M,Yes,Sun,Night,2
17.89,2,M,Yes,Sun,Night,2
14.48,2,M,Yes,Sun,Night,2
9.6,4,F,Yes,Sun,Night,2
34.63,3.55,M,Yes,Sun,Night,2
34.65,3.68,M,Yes,Sun,Night,4
23.33,5.65,M,Yes,Sun,Night,2
45.35,3.5,M,Yes,Sun,Night,3
23.17,6.5,M,Yes,Sun,Night,4
40.55,3,M,Yes,Sun,Night,2
20.69,5,M,No,Sun,Night,5
20.9,3.5,F,Yes,Sun,Night,3
30.46,2,M,Yes,Sun,Night,5
18.15,3.5,F,Yes,Sun,Night,3
23.1,4,M,Yes,Sun,Night,3
15.69,1.5,M,Yes,Sun,Night,2
19.81,4.19,F,Yes,Thu,Day,2
28.44,2.56,M,Yes,Thu,Day,2
15.48,2.02,M,Yes,Thu,Day,2
16.58,4,M,Yes,Thu,Day,2
7.56,1.44,M,No,Thu,Day,2
10.34,2,M,Yes,Thu,Day,2
43.11,5,F,Yes,Thu,Day,4
13,2,F,Yes,Thu,Day,2
13.51,2,M,Yes,Thu,Day,2
18.71,4,M,Yes,Thu,Day,3
12.74,2.01,F,Yes,Thu,Day,2
13,2,F,Yes,Thu,Day,2
16.4,2.5,F,Yes,Thu,Day,2
20.53,4,M,Yes,Thu,Day,4
16.47,3.23,F,Yes,Thu,Day,3
26.59,3.41,M,Yes,Sat,Night,3
38.73,3,M,Yes,Sat,Night,4
24.27,2.03,M,Yes,Sat,Night,2
12.76,2.23,F,Yes,Sat,Night,2
30.06,2,M,Yes,Sat,Night,3
25.89,5.16,M,Yes,Sat,Night,4
48.33,9,M,No,Sat,Night,4
13.27,2.5,F,Yes,Sat,Night,2
28.17,6.5,F,Yes,Sat,Night,3
12.9,1.1,F,Yes,Sat,Night,2
28.15,3,M,Yes,Sat,Night,5
11.59,1.5,M,Yes,Sat,Night,2
7.74,1.44,M,Yes,Sat,Night,2
30.14,3.09,F,Yes,Sat,Night,4
12.16,2.2,M,Yes,Fri,Day,2
13.42,3.48,F,Yes,Fri,Day,2
8.58,1.92,M,Yes,Fri,Day,1
15.98,3,F,No,Fri,Day,3
13.42,1.58,M,Yes,Fri,Day,2
16.27,2.5,F,Yes,Fri,Day,2
10.09,2,F,Yes,Fri,Day,2
20.45,3,M,No,Sat,Night,4
13.28,2.72,M,No,Sat,Night,2
22.12,2.88,F,Yes,Sat,Night,2
24.01,2,M,Yes,Sat,Night,4
15.69,3,M,Yes,Sat,Night,3
11.61,3.39,M,No,Sat,Night,2
10.77,1.47,M,No,Sat,Night,2
15.53,3,M,Yes,Sat,Night,2
10.07,1.25,M,No,Sat,Night,2
12.6,1,M,Yes,Sat,Night,2
32.83,1.17,M,Yes,Sat,Night,2
35.83,4.67,F,No,Sat,Night,3
29.03,5.92,M,No,Sat,Night,3
27.18,2,F,Yes,Sat,Night,2
22.67,2,M,Yes,Sat,Night,2
17.82,1.75,M,No,Sat,Night,2
18.78,3,F,No,Thu,Night,2
