Manufacturer,Model,Type,Price,MPG.city,AirBags,Horsepower,Passengers,Rear.seat.room,Luggage.room
Toyota,Tercel,Small,2009000,32,Driver only,82,5,24.0,11.0
Toyota,Celica,Sporty,3772000,25,Driver only,135,4,23.0,13.0
Toyota,Camry,Midsize,3731000,22,Driver only,130,5,28.5,15.0
Toyota,Previa,Van,4653500,18,Driver only,138,7,35.0,
Volkswagen,Fox,Small,1865500,25,,81,4,26.0,10.0
Volkswagen,Eurovan,Van,4038500,17,Driver & Passenger,109,7,34.0,
Volkswagen,Passat,Compact,4100000,21,Driver & Passenger,134,5,31.5,14.0
Volkswagen,Corrado,Sporty,4776500,18,Driver & Passenger,178,4,26.0,15.0
Volvo,240,Compact,4653500,21,Driver only,114,5,29.5,14.0
Volvo,850,Midsize,5473500,20,Driver & Passenger,168,5,30.0,15.0
