Manufacturer,Model,Type,Price,MPG.city,AirBags,Horsepower,Passengers,Rear.seat.room,Luggage.room
Lexus,SC300,Midsize,35.2,18,Driver & Passenger,225,4,25,9
Lincoln,Continental,Midsize,34.3,17,Driver & Passenger,160,6,30,19
Lincoln,Town_Car,Large,36.1,18,Driver & Passenger,210,6,31.5,22
Mazda,323,Small,8.3,29,Driver only,82,4,27,16
Mazda,Protege,Small,11.6,28,,103,5,26.5,13
Mazda,626,Compact,16.5,26,Driver only,164,5,29.5,14
Mazda,MPV,Van,19.1,18,Driver & Passenger,155,7,27.5,
Mazda,RX-7,Sporty,32.5,17,Driver only,255,2,,
Mercedes-Benz,190E,Compact,31.9,20,Driver only,130,5,26,12
Mercedes-Benz,300E,Midsize,61.9,19,Driver & Passenger,217,5,27,15
Mercury,Capri,Sporty,14.1,23,Driver only,100,4,19,6
Mercury,Cougar,Midsize,14.9,19,Driver only,140,5,28,15
Mitsubishi,Mirage,Small,10.3,29,,92,5,26,11
Mitsubishi,Diamante,Midsize,26.1,18,Driver only,202,5,27.5,14
Nissan,Sentra,Small,11.8,29,Driver only,110,5,26,12
Nissan,Altima,Compact,15.7,24,Driver only,150,5,28.5,14
Nissan,Quest,Van,19.1,17,,151,7,27,
Nissan,Maxima,Midsize,21.5,21,Driver only,160,5,28.5,14
Oldsmobile,Achieva,Compact,13.5,24,,155,5,28,14
Oldsmobile,Cutlass_Ciera,Midsize,16.3,23,Driver only,110,5,28,16
Oldsmobile,Silhouette,Van,19.5,18,Driver & Passenger,170,7,30.5,
Oldsmobile,Eighty-Eight,Large,20.7,19,Driver only,170,6,31.5,17
Plymouth,Laser,Sporty,14.4,23,,92,4,24.5,8
Pontiac,LeMans,Small,9,31,,74,4,25.5,17
Pontiac,Sunbird,Compact,11.1,23,,110,5,25,13
Pontiac,Firebird,Sporty,17.7,19,Driver & Passenger,160,4,25,13
Pontiac,Grand_Prix,Midsize,18.5,19,Driver & Passenger,200,5,28.5,16
Pontiac,Bonneville,Large,24.4,19,Driver & Passenger,170,6,30.5,18
Saab,900,Compact,28.7,20,Driver only,140,5,26.5,14
Saturn,SL,Small,11.1,28,Driver only,85,5,26.5,12
Subaru,Justy,Small,8.4,33,,73,4,23.5,10
Subaru,Loyale,Small,10.9,25,,90,5,27.5,15
Subaru,Legacy,Compact,19.5,23,Driver only,130,5,27,14
Suzuki,Swift,Small,8.6,39,,70,4,27.5,10
Toyota,Tercel,Small,9.8,32,Driver only,82,5,24,11
Toyota,Celica,Sporty,18.4,25,Driver only,135,4,23,13
Toyota,Camry,Midsize,18.2,22,Driver only,130,5,28.5,15
Toyota,Previa,Van,22.7,18,Driver only,138,7,35,
Volkswagen,Fox,Small,9.1,25,,81,4,26,10
Volkswagen,Eurovan,Van,19.7,17,Driver & Passenger,109,7,34,
Volkswagen,Passat,Compact,20,21,Driver & Passenger,134,5,31.5,14
Volkswagen,Corrado,Sporty,23.3,18,Driver & Passenger,178,4,26,15
Volvo,240,Compact,22.7,21,Driver only,114,5,29.5,14
Volvo,850,Midsize,26.7,20,Driver & Passenger,168,5,30,15
